GUID;IDRESEAU;CODE_LIGNE;LIB_LIGNE;IDGAIA;RG_TRONCON;LIBELLE;LIB_GARE;PK;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
E9422694666711E3A7FF01F464E0362D;108592;082000;Ligne de Reims à Laon;e9422694-6667-11e3-a7ff-01f464e0362d;1;;Amifontaine;027+947;766012.9650999978;6932083.393199999;3.910682169327863;49.484696626763025;49.484696626763025, 3.910682169327863;49.48469662674408, 3.9106821693278637;"{""coordinates"": [3.910682169327864, 49.48469662674408], ""type"": ""Point""}"
E5D0BCBA666711E3A7FF01F464E0362D;108636;272000;Ligne de Paris-Nord à Lille;e5d0bcba-6667-11e3-a7ff-01f464e0362d;1;;Avrechy;072+753;657796.7261999995;6927469.302000001;2.418238252364311;49.4452503840317;49.4452503840317, 2.418238252364311;49.44525038401257, 2.4182382523643104;"{""coordinates"": [2.41823825236431, 49.44525038401257], ""type"": ""Point""}"
E5751F66666711E3A7FF01F464E0362D;108736;629000;Ligne de Libourne au Buisson;e5751f66-6667-11e3-a7ff-01f464e0362d;1;;Castillon;564+483;459846.57109999657;6422162.6536;-0.040649270853615;44.85701666555815;44.85701666555815, -0.04064927085361481;44.857016665538154, -0.0406492708536164;"{""coordinates"": [-0.040649270853616, 44.857016665538154], ""type"": ""Point""}"
2C003392456311E698FF01B864E0362D;171873;830900;Voies de liaison de Dijon à Gevrey-Chambertin;2c003392-4563-11e6-98ff-01b864e0362d;2;Traversée n°7;;004+664;852476.4143999964;6684805.749699999;5.016025490741405;47.24603700287141;47.24603700287141, 5.016025490741405;47.2460370028583, 5.016025490741407;"{""coordinates"": [5.016025490741407, 47.2460370028583], ""type"": ""Point""}"
E68E684A666711E3A7FF01F464E0362D;109020;690000;Ligne de Vierzon à Saincaize;e68e684a-6667-11e3-a7ff-01f464e0362d;1;TVP La Guerche;La Guerche-sur-l'Aubois;281+370;696086.8836999983;6649715.417599998;2.948552348870813;46.94762937765906;46.94762937765906, 2.9485523488708134;46.94762937764508, 2.9485523488708134;"{""coordinates"": [2.948552348870813, 46.94762937764508], ""type"": ""Point""}"
DD571D6203E311E487FF013C64E0362D;157725;890000;Ligne de Lyon-Perrache à Genève (frontière);dd571d62-03e3-11e4-87ff-013c64e0362d;1;;Lyon-St-Clair;008+405;844680.2292999998;6522925.697799999;4.862509915528941;45.79059468753491;45.79059468753491, 4.862509915528941;45.79059468751755, 4.862509915528942;"{""coordinates"": [4.862509915528942, 45.79059468751755], ""type"": ""Point""}"
E90294FC666711E3A7FF01F464E0362D;108901;500000;Ligne de Chartres à Bordeaux-St-Jean;e90294fc-6667-11e3-a7ff-01f464e0362d;2;;Fontaines-d'Ozillac;542+910;435259.58950000256;6482226.1426;-0.384164805592427;45.38837837436786;45.38837837436786, -0.384164805592427;45.38837837434937, -0.3841648055924294;"{""coordinates"": [-0.384164805592429, 45.38837837434937], ""type"": ""Point""}"
2501E47619C011E5B9FF01FC64E0362D;164696;655000;Ligne de Bordeaux-St-Jean à Irun;2501e476-19c0-11e5-b9ff-01fc64e0362d;1;;St-Geours;166+192;358112.6403999999;6294955.597199999;-1.240178098833686;43.671003319865434;43.671003319865434, -1.2401780988336861;43.671003319842356, -1.2401780988336886;"{""coordinates"": [-1.240178098833689, 43.671003319842356], ""type"": ""Point""}"
E58A631A666711E3A7FF01F464E0362D;108643;720000;Ligne de Figeac à Arvant;e58a631a-6667-11e3-a7ff-01f464e0362d;1;;Bagnac;251+627;633424.391400002;6396576.249299999;2.160130050569516;44.66510697898992;44.66510697898992, 2.1601300505695162;44.66510697896942, 2.160130050569516;"{""coordinates"": [2.160130050569516, 44.66510697896942], ""type"": ""Point""}"
321C0BE8E7E811E5A7FF01D064E0362D;171147;314000;Ligne de Boulogne-Ville à Calais-Maritime;321c0be8-e7e8-11e5-a7ff-01d064e0362d;1;;;289+973;617383.5781000033;7092436.443799999;1.827447221258936;50.92248720111394;50.92248720111394, 1.8274472212589357;50.92248720110149, 1.827447221258934;"{""coordinates"": [1.827447221258934, 50.92248720110149], ""type"": ""Point""}"
E97D2316666711E3A7FF01F464E0362D;109457;430000;Ligne du Mans à Mézidon;e97d2316-6667-11e3-a7ff-01f464e0362d;1;;Sées;076+043;491099.4228999987;6837049.6118;0.166272036082694;48.59990963412721;48.59990963412721, 0.16627203608269386;48.599909634103824, 0.16627203608269187;"{""coordinates"": [0.166272036082692, 48.599909634103824], ""type"": ""Point""}"
E5A521A8666711E3A7FF01F464E0362D;131292;570000;Ligne de Paris-Austerlitz à Bordeaux-St-Jean;e5a521a8-6667-11e3-a7ff-01f464e0362d;1;;Boulevard-Masséna;002+272;654714.7097999975;6858297.827799998;2.383203085526715;48.823150790231374;48.823150790231374, 2.3832030855267146;48.823150790209155, 2.3832030855267146;"{""coordinates"": [2.383203085526715, 48.823150790209155], ""type"": ""Point""}"
E558749A666711E3A7FF01F464E0362D;108764;782000;Ligne de Lyon-St-Paul à Montbrison;e558749a-6667-11e3-a7ff-01f464e0362d;1;;Charbonnières-les-Bains;008+714;834853.0208000019;6521780.244399998;4.735719610608164;45.782298760340325;45.782298760340325, 4.735719610608164;45.782298760322945, 4.7357196106081645;"{""coordinates"": [4.735719610608164, 45.782298760322945], ""type"": ""Point""}"
E5854990666711E3A7FF01F464E0362D;108845;770000;Ligne de Moulins à Mâcon;e5854990-6667-11e3-a7ff-01f464e0362d;1;;Dompierre-Sept-Fons;027+745;751756.9540000036;6603154.247699998;3.675222746418577;46.52640972600922;46.52640972600922, 3.675222746418577;46.526409725994, 3.675222746418578;"{""coordinates"": [3.675222746418578, 46.526409725994], ""type"": ""Point""}"
E72E4CC0666711E3A7FF01F464E0362D;108632;755000;Ligne de Cravant-Bazarnes à Dracy-St-Loup;e72e4cc0-6667-11e3-a7ff-01f464e0362d;1;;Avallon;228+667;768714.1837000027;6711005.129099999;3.912692787059527;47.49583531306605;47.49583531306605, 3.9126927870595267;47.495835313053696, 3.9126927870595276;"{""coordinates"": [3.912692787059528, 47.495835313053696], ""type"": ""Point""}"
E57964E4666711E3A7FF01F464E0362D;109215;030000;Ligne de Neufchâteau à Épinal;e57964e4-6667-11e3-a7ff-01f464e0362d;1;;Mirecourt;094+168;931979.7946999967;6804507.2962;6.129000238491247;48.29952123469833;48.29952123469833, 6.129000238491247;48.29952123468831, 6.1290002384912485;"{""coordinates"": [6.129000238491249, 48.29952123468831], ""type"": ""Point""}"
E88F3D04666711E3A7FF01F464E0362D;108693;534000;Ligne de Nantes-État à La Roche-sur-Yon par Ste-Pazanne;e88f3d04-6667-11e3-a7ff-01f464e0362d;1;;Bouaye;014+595;345422.7845999971;6681369.421100002;-1.681009432067846;47.137978792687676;47.137978792687676, -1.6810094320678457;47.137978792674254, -1.681009432067849;"{""coordinates"": [-1.681009432067849, 47.137978792674254], ""type"": ""Point""}"
